Table S13. Domain architectures of high-confidence lysins identified in the GCSV.,,,,,,,,,,,
vPC_id,Sequence.length,Analysis,Signature.accession,Signature.description,Start.location,Stop.location,E-value,InterPro.annotations-accession,InterPro.annotations.-description,GO.annotation,Pathways.annotations
ENP_2_k119_13122_length_6292_cov_10.0729_1,181,Pfam,PF01471,Putative peptidoglycan binding domain,120,175,2.2E-10,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
ENP_2_k119_41409_length_9434_cov_14.9295_7,147,Pfam,PF01464,Transglycosylase SLT domain,24,117,3.9E-14,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
ENP_20.69_k119_19810_length_24127_cov_11.9237_1_8,556,Pfam,PF01471,Putative peptidoglycan binding domain,312,366,2.8E-10,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
ENP_20.69_k119_53049_length_7203_cov_15.4346_11,148,Pfam,PF03330,Lytic transglycolase,32,116,2.7E-14,IPR009009,"RlpA-like protein, double-psi beta-barrel domain",-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
Formosa_Ridge_S1_k141_401322_length_79375_cov_21.9883_1_3,204,Pfam,PF13539,D-alanyl-D-alanine carboxypeptidase,60,118,2.1E-10,IPR039561,Peptidase M15C,GO:0008233(InterPro),MetaCyc:PWY-8119
Formosa_Ridge_S1_k141_4388445_length_47542_cov_17.9921_1_25,129,Pfam,PF08291,Peptidase M15,8,114,1.8E-12,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
Formosa_Ridge_S1_k141_551587_length_6365_cov_5.0000_3,207,Pfam,PF01551,Peptidase family M23,26,124,5.4E-15,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Formosa_Ridge_S1_k141_599661_length_48905_cov_18.0594_1_20,226,Pfam,PF01551,Peptidase family M23,43,140,1.1E-19,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Formosa_Ridge_S2_k141_696556_length_42882_cov_102.9475_41,208,Pfam,PF01464,Transglycosylase SLT domain,85,162,8.7E-12,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
GA-1_k141_1108991_length_14757_cov_6.8787_2,2337,Pfam,PF00959,Phage lysozyme,12,134,1.4E-09,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
GA-2_k141_410117_length_13992_cov_9.0000_6,202,Pfam,PF01551,Peptidase family M23,97,181,1.9E-12,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
GA-2_k141_976142_length_5626_cov_7.0000_2,131,Pfam,PF08291,Peptidase M15,14,119,4.6E-09,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
GJ-DNA-10_k141_2000690_length_5293_cov_4.3276_3,746,Pfam,PF01551,Peptidase family M23,347,452,1.5E-09,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
GJ-DNA-9_k141_772764_length_79516_cov_18.2123_1_15,197,Pfam,PF05838,Glycosyl hydrolase 108,43,113,8.1E-15,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
GJ-DNA-9_k141_861521_length_13078_cov_6.3680_3,272,Pfam,PF18013,Phage tail lysozyme,42,165,3E-15,IPR041219,Phage tail lysozyme,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
GoM_SRR9649758_k141_146752_length_48478_cov_40.0000_51,222,Pfam,PF01551,Peptidase family M23,97,208,4.1E-17,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Haima1_GDNA17_k141_2281153_length_6935_cov_11.1972_15,161,Pfam,PF07486,Cell Wall Hydrolase,41,160,3.3E-20,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
Haima1_GDNA17_k141_2590130_length_191563_cov_23.0000_83,168,Pfam,PF01551,Peptidase family M23,55,149,5.7E-23,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Haima1_GDNA17_k141_4005909_length_12231_cov_10.2468_7,263,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,51,234,7.5E-11,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
Haima1_GDNA17_k141_4133899_length_10408_cov_5.0000_3,220,Pfam,PF01551,Peptidase family M23,3,48,0.0000026,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Haima1_GDNA17_k141_5615996_length_5884_cov_10.0000_2,146,Pfam,PF07486,Cell Wall Hydrolase,41,144,5.9E-18,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
Haima1_GDNA17_k141_713807_length_71827_cov_9.0000_34,248,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,68,226,5.6E-09,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
Haima1_GDNA17_k141_858041_length_17389_cov_8.0000_18,184,Pfam,PF08291,Peptidase M15,33,123,1.4E-15,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
Haima1_GDNA17_k141_938069_length_17869_cov_9.0000_17,160,Pfam,PF01464,Transglycosylase SLT domain,14,144,0.000000012,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
Haima1_GDNA18_k141_2030682_length_6457_cov_7.7058_3,165,Pfam,PF05257,CHAP domain,65,139,0.0000001,IPR007921,CHAP domain,-,MetaCyc:PWY-1921|MetaCyc:PWY-4121|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
Haima1_GDNA18_k141_3505662_length_21615_cov_7.0000_13,335,Pfam,PF01471,Putative peptidoglycan binding domain,9,66,9.3E-10,IPR002477,Peptidoglycan binding-like,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6470|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-7884|MetaCyc:PWY-8119|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-1433557|Reactome:R-BTA-1442490|Reactome:R-BTA-1474228|Reactome:R-BTA-1592389|Reactome:R-BTA-3928665|Reactome:R-BTA-6798695|Reactome:R-BTA-9009391|Reactome:R-CEL-1442490|Reactome:R-CEL-1474228|Reactome:R-CEL-1592389|Reactome:R-CEL-210991|Reactome:R-CEL-2168880|Reactome:R-CEL-2179392|Reactome:R-CEL-3928665|Reactome:R-CEL-6798695|Reactome:R-CFA-1442490|Reactome:R-CFA-1474228|Reactome:R-CFA-1592389|Reactome:R-CFA-2179392|Reactome:R-CFA-9009391|Reactome:R-GGA-1442490|Reactome:R-GGA-1474228|Reactome:R-GGA-1592389|Reactome:R-GGA-3928665|Reactome:R-GGA-9009391|Reactome:R-HSA-1442490|Reactome:R-HSA-1474228|Reactome:R-HSA-1592389|Reactome:R-HSA-2022090|Reactome:R-HSA-210991|Reactome:R-HSA-2179392|Reactome:R-HSA-381426|Reactome:R-HSA-6785807|Reactome:R-HSA-6798695|Reactome:R-HSA-8941332|Reactome:R-HSA-9009391|Reactome:R-HSA-9839383|Reactome:R-HSA-9856530|Reactome:R-MMU-1442490|Reactome:R-MMU-1474228|Reactome:R-MMU-1592389|Reactome:R-MMU-2022090|Reactome:R-MMU-210991|Reactome:R-MMU-2179392|Reactome:R-MMU-6798695|Reactome:R-MMU-9009391|Reactome:R-MMU-9839383|Reactome:R-RNO-1442490|Reactome:R-RNO-1474228|Reactome:R-RNO-1592389|Reactome:R-RNO-2022090|Reactome:R-RNO-2179392|Reactome:R-RNO-6798695|Reactome:R-RNO-9009391|Reactome:R-RNO-9839383|Reactome:R-SSC-1442490|Reactome:R-SSC-1474228|Reactome:R-SSC-1592389|Reactome:R-SSC-2022090|Reactome:R-SSC-210991
Haima1_GDNA19_k141_1159204_length_6242_cov_8.0000_7,191,Pfam,PF00959,Phage lysozyme,32,157,1.2E-11,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
Haima1_GDNA19_k141_2024643_length_34224_cov_7.0000_3,116,Pfam,PF08291,Peptidase M15,4,104,0.000000006,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
Haima1_GDNA19_k141_606800_length_19237_cov_8.0000_31,141,Pfam,PF07486,Cell Wall Hydrolase,38,140,6.9E-18,IPR011105,"Cell wall hydrolase, SleB",GO:0016787(InterPro),-
Haima1_GDNA20_k141_2525716_length_15215_cov_6.0000_3,201,Pfam,PF16754,"Bacterial toxin homologue of phage lysozyme, C-term",5,162,2.6E-23,IPR031922,"Pesticin, C-terminal",GO:0003796(InterPro),-
Haima3_GDNA22_k141_1647911_length_18320_cov_11.9891_26,190,Pfam,PF01464,Transglycosylase SLT domain,70,166,4.3E-15,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
Haima3_GDNA22_k141_251973_length_8541_cov_7.0000_14,170,Pfam,PF05838,Glycosyl hydrolase 108,9,96,2.6E-12,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
Haima3_GDNA23_k141_1663375_length_29956_cov_9.0000_37,127,Pfam,PF08291,Peptidase M15,8,109,9.1E-09,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
Haima3_GDNA23_k141_2165933_length_6088_cov_5.0000_3,189,Pfam,PF18013,Phage tail lysozyme,14,148,3.5E-24,IPR041219,Phage tail lysozyme,-,MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862
Haima3_GDNA23_k141_270476_length_6291_cov_6.0000_2,132,Pfam,PF00877,NlpC/P60 family,19,123,3.2E-12,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
Haima3_GDNA23_k141_314225_length_74464_cov_22.0000_60,122,Pfam,PF08291,Peptidase M15,4,102,2.7E-12,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
Haima3_GDNA23_k141_393282_length_59665_cov_9.0000_37,198,Pfam,PF00877,NlpC/P60 family,25,111,0.00000046,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
Haima3_GDNA24_k141_2391780_length_26837_cov_9.0000_35,147,Pfam,PF00877,NlpC/P60 family,28,132,1E-12,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
Haima3_GDNA24_k141_3897230_length_21736_cov_6.0000_19,949,Pfam,PF01464,Transglycosylase SLT domain,784,887,2.8E-22,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
Haima3_GDNA25_k141_1193009_length_25799_cov_9.0000_7,129,Pfam,PF00959,Phage lysozyme,9,116,0.000000013,IPR002196,"Glycoside hydrolase, family 24",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
Haima3_GDNA25_k141_1886622_length_89667_cov_14.0002_21,794,Pfam,PF01510,N-acetylmuramoyl-L-alanine amidase,599,731,0.00000002,IPR002502,N-acetylmuramoyl-L-alanine amidase domain,GO:0008745(InterPro)|GO:0009253(InterPro),MetaCyc:PWY-1921|MetaCyc:PWY-5821|MetaCyc:PWY-5976|MetaCyc:PWY-6527|MetaCyc:PWY-6717|MetaCyc:PWY-6735|MetaCyc:PWY-6737|MetaCyc:PWY-6749|MetaCyc:PWY-6784|MetaCyc:PWY-6821|MetaCyc:PWY-6848|MetaCyc:PWY-6855|MetaCyc:PWY-6906|MetaCyc:PWY-6972|MetaCyc:PWY-7056|MetaCyc:PWY-7057|MetaCyc:PWY-7074|MetaCyc:PWY-7091|MetaCyc:PWY-7133|MetaCyc:PWY-7134|MetaCyc:PWY-7256|MetaCyc:PWY-7445|MetaCyc:PWY-7491|MetaCyc:PWY-7529|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8366|MetaCyc:PWY-842|MetaCyc:PWY-8435|MetaCyc:PWY-8436|MetaCyc:PWY-862|Reactome:R-BTA-6798695|Reactome:R-BTA-6803157|Reactome:R-DME-209171|Reactome:R-DME-209266|Reactome:R-DME-214397|Reactome:R-DME-214399|Reactome:R-DME-214411|Reactome:R-DME-214416|Reactome:R-DME-6798695|Reactome:R-DME-6803157|Reactome:R-HSA-6798695|Reactome:R-HSA-6803157|Reactome:R-MMU-6798695|Reactome:R-MMU-6803157|Reactome:R-RNO-6798695|Reactome:R-RNO-6803157
Haima3_GDNA25_k141_285307_length_36557_cov_8.0000_11,128,Pfam,PF08291,Peptidase M15,22,121,2.4E-13,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
Haima3_GDNA25_k141_645572_length_10925_cov_7.0000_12,330,Pfam,PF13539,D-alanyl-D-alanine carboxypeptidase,113,181,0.00000054,IPR039561,Peptidase M15C,GO:0008233(InterPro),MetaCyc:PWY-8119
Haima3_GDNA26_k141_1088022_length_59712_cov_9.0000_21,199,Pfam,PF01551,Peptidase family M23,80,165,6.6E-10,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Haima3_GDNA26_k141_1143578_length_27125_cov_10.0000_11,895,Pfam,PF01183,Glycosyl hydrolases family 25,562,739,1.9E-25,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
Haima3_GDNA26_k141_1252990_length_11979_cov_8.0000_5,211,Pfam,PF01551,Peptidase family M23,97,175,3.4E-13,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Haima3_GDNA26_k141_1413707_length_11099_cov_10.8798_2,188,Pfam,PF05838,Glycosyl hydrolase 108,23,98,1.8E-15,IPR008565,"TtsA-like, Glycoside hydrolase family 108 domain",-,-
Haima3_GDNA26_k141_1588191_length_10598_cov_12.0000_9,186,Pfam,PF02557,D-alanyl-D-alanine carboxypeptidase,54,145,0.0000002,IPR003709,Peptidase M15B,GO:0006508(InterPro)|GO:0008233(InterPro),-
Haima3_GDNA26_k141_1608232_length_54687_cov_21.9216_2,204,Pfam,PF01464,Transglycosylase SLT domain,46,93,0.000005,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
Haima3_GDNA26_k141_1676502_length_9674_cov_6.9862_5,201,Pfam,PF01464,Transglycosylase SLT domain,81,163,0.000000067,IPR008258,Transglycosylase SLT domain 1,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647
Haima3_GDNA26_k141_1725361_length_375457_cov_36.9983_72,147,Pfam,PF01551,Peptidase family M23,38,132,6.8E-30,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Haima3_GDNA26_k141_1813391_length_8882_cov_9.0000_5,281,Pfam,PF01183,Glycosyl hydrolases family 25,26,191,3E-18,IPR002053,"Glycoside hydrolase, family 25",GO:0003796(InterPro)|GO:0009253(InterPro)|GO:0016998(InterPro),-
Haima3_GDNA26_k141_1814655_length_21069_cov_6.0000_18,823,Pfam,PF01551,Peptidase family M23,431,538,5.1E-10,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
Haima3_GDNA26_k141_1840186_length_11714_cov_6.0000_2,199,Pfam,PF00877,NlpC/P60 family,19,143,6.9E-11,IPR000064,"Endopeptidase, NLPC/P60 domain",-,MetaCyc:PWY-7883
Haima3_GDNA26_k141_1892864_length_16975_cov_6.9922_13,165,Pfam,PF08291,Peptidase M15,6,118,4.4E-11,IPR013230,"Peptidase M15A, C-terminal",-,MetaCyc:PWY-6470
Haima3_GDNA26_k141_1896364_length_6295_cov_4.0000_2,221,Pfam,PF01551,Peptidase family M23,92,187,2.2E-16,IPR016047,Peptidase M23,-,MetaCyc:PWY-7246|MetaCyc:PWY-7647|MetaCyc:PWY-7883|MetaCyc:PWY-8119
